,repo_id,actor_count,year_month,community
2052,228290594,7,2023-02,PaddleSlim
2053,88868842,8,2023-02,models
2059,204380779,15,2023-02,PaddleSeg
2062,217475193,18,2023-02,PaddleDetection
2063,262296122,21,2023-02,PaddleOCR
2065,507861208,25,2023-02,FastDeploy
2067,336274588,35,2023-02,PaddleNLP
2069,65711522,194,2023-02,Paddle
2070,162672577,1,2023-03,PaddleHub
2074,88868842,2,2023-03,models
2083,273214029,2,2023-03,PaddleGAN
2097,228290594,8,2023-03,PaddleSlim
2104,204380779,13,2023-03,PaddleSeg
2105,217475193,14,2023-03,PaddleDetection
2112,262296122,24,2023-03,PaddleOCR
2113,507861208,30,2023-03,FastDeploy
2114,336274588,49,2023-03,PaddleNLP
2117,65711522,250,2023-03,Paddle
2127,162672577,2,2023-04,PaddleHub
2131,88868842,2,2023-04,models
2134,273214029,3,2023-04,PaddleGAN
2147,228290594,7,2023-04,PaddleSlim
2152,217475193,11,2023-04,PaddleDetection
2156,507861208,13,2023-04,FastDeploy
2157,204380779,16,2023-04,PaddleSeg
2158,262296122,20,2023-04,PaddleOCR
2163,336274588,46,2023-04,PaddleNLP
2165,65711522,201,2023-04,Paddle
2166,162672577,1,2023-05,PaddleHub
2194,228290594,7,2023-05,PaddleSlim
2196,204380779,8,2023-05,PaddleSeg
2200,507861208,11,2023-05,FastDeploy
2203,262296122,15,2023-05,PaddleOCR
2205,217475193,18,2023-05,PaddleDetection
2208,336274588,34,2023-05,PaddleNLP
2210,65711522,154,2023-05,Paddle
2215,88868842,1,2023-06,models
2218,273214029,2,2023-06,PaddleGAN
2235,228290594,5,2023-06,PaddleSlim
2239,204380779,8,2023-06,PaddleSeg
2240,507861208,9,2023-06,FastDeploy
2242,217475193,9,2023-06,PaddleDetection
2252,262296122,19,2023-06,PaddleOCR
2254,336274588,36,2023-06,PaddleNLP
2255,65711522,149,2023-06,Paddle
2264,162672577,1,2023-07,PaddleHub
2265,88868842,1,2023-07,models
2272,273214029,2,2023-07,PaddleGAN
2279,507861208,4,2023-07,FastDeploy
2283,228290594,5,2023-07,PaddleSlim
2290,204380779,11,2023-07,PaddleSeg
2295,217475193,19,2023-07,PaddleDetection
2296,262296122,25,2023-07,PaddleOCR
2298,336274588,38,2023-07,PaddleNLP
2299,65711522,171,2023-07,Paddle
2309,273214029,2,2023-08,PaddleGAN
2315,507861208,4,2023-08,FastDeploy
2323,228290594,6,2023-08,PaddleSlim
2329,204380779,11,2023-08,PaddleSeg
2331,217475193,12,2023-08,PaddleDetection
2336,262296122,30,2023-08,PaddleOCR
2337,336274588,48,2023-08,PaddleNLP
2338,65711522,182,2023-08,Paddle
2340,162672577,1,2023-09,PaddleHub
2344,88868842,1,2023-09,models
2357,204380779,6,2023-09,PaddleSeg
2365,217475193,15,2023-09,PaddleDetection
2367,262296122,20,2023-09,PaddleOCR
2370,336274588,46,2023-09,PaddleNLP
2371,65711522,165,2023-09,Paddle
2376,162672577,2,2023-10,PaddleHub
2380,228290594,2,2023-10,PaddleSlim
2388,204380779,5,2023-10,PaddleSeg
2390,507861208,5,2023-10,FastDeploy
2393,217475193,7,2023-10,PaddleDetection
2397,262296122,14,2023-10,PaddleOCR
2401,336274588,52,2023-10,PaddleNLP
2402,65711522,154,2023-10,Paddle
2417,228290594,3,2023-11,PaddleSlim
2420,273214029,4,2023-11,PaddleGAN
2422,507861208,5,2023-11,FastDeploy
2423,204380779,6,2023-11,PaddleSeg
2428,217475193,8,2023-11,PaddleDetection
2432,262296122,18,2023-11,PaddleOCR
2435,336274588,44,2023-11,PaddleNLP
2436,65711522,171,2023-11,Paddle
2445,273214029,2,2023-12,PaddleGAN
2451,204380779,4,2023-12,PaddleSeg
2456,507861208,7,2023-12,FastDeploy
2457,228290594,7,2023-12,PaddleSlim
2460,217475193,10,2023-12,PaddleDetection
2464,262296122,18,2023-12,PaddleOCR
2467,336274588,48,2023-12,PaddleNLP
2468,65711522,155,2023-12,Paddle
2476,204380779,2,2024-01,PaddleSeg
2484,228290594,3,2024-01,PaddleSlim
2487,507861208,3,2024-01,FastDeploy
2488,217475193,3,2024-01,PaddleDetection
2492,262296122,10,2024-01,PaddleOCR
2498,336274588,54,2024-01,PaddleNLP
2499,65711522,150,2024-01,Paddle
2513,204380779,2,2024-02,PaddleSeg
2516,273214029,3,2024-02,PaddleGAN
2520,507861208,4,2024-02,FastDeploy
2522,228290594,4,2024-02,PaddleSlim
2527,217475193,6,2024-02,PaddleDetection
2530,262296122,8,2024-02,PaddleOCR
2534,336274588,37,2024-02,PaddleNLP
2535,65711522,139,2024-02,Paddle
2548,204380779,2,2024-03,PaddleSeg
2549,273214029,2,2024-03,PaddleGAN
2553,507861208,3,2024-03,FastDeploy
2556,228290594,4,2024-03,PaddleSlim
2559,217475193,7,2024-03,PaddleDetection
2562,262296122,10,2024-03,PaddleOCR
2568,336274588,52,2024-03,PaddleNLP
2569,65711522,145,2024-03,Paddle
