,repo_id,forks,year_month,community
1518,88868842,32,2021-05,models
1519,336274588,30,2021-05,PaddleNLP
1521,204380779,20,2021-05,PaddleSeg
1527,228290594,14,2021-05,PaddleSlim
1567,336274588,266,2021-06,PaddleNLP
1569,162672577,193,2021-06,PaddleHub
1570,262296122,151,2021-06,PaddleOCR
1571,65711522,113,2021-06,Paddle
1572,217475193,81,2021-06,PaddleDetection
1575,273214029,48,2021-06,PaddleGAN
1577,204380779,30,2021-06,PaddleSeg
1578,88868842,24,2021-06,models
1587,228290594,9,2021-06,PaddleSlim
1625,262296122,162,2021-07,PaddleOCR
1626,204380779,131,2021-07,PaddleSeg
1627,65711522,98,2021-07,Paddle
1628,336274588,79,2021-07,PaddleNLP
1629,217475193,63,2021-07,PaddleDetection
1631,162672577,34,2021-07,PaddleHub
1633,88868842,27,2021-07,models
1635,273214029,21,2021-07,PaddleGAN
1655,228290594,4,2021-07,PaddleSlim
1697,262296122,280,2021-08,PaddleOCR
1699,65711522,87,2021-08,Paddle
1700,204380779,77,2021-08,PaddleSeg
1701,217475193,64,2021-08,PaddleDetection
1702,336274588,51,2021-08,PaddleNLP
1703,273214029,40,2021-08,PaddleGAN
1704,162672577,32,2021-08,PaddleHub
1708,88868842,21,2021-08,models
1723,228290594,5,2021-08,PaddleSlim
1751,262296122,255,2021-09,PaddleOCR
1752,65711522,98,2021-09,Paddle
1753,336274588,73,2021-09,PaddleNLP
1754,217475193,54,2021-09,PaddleDetection
1755,204380779,49,2021-09,PaddleSeg
1756,162672577,30,2021-09,PaddleHub
1758,88868842,27,2021-09,models
1761,273214029,24,2021-09,PaddleGAN
1780,228290594,5,2021-09,PaddleSlim
1808,262296122,63,2021-10,PaddleOCR
1810,336274588,34,2021-10,PaddleNLP
1811,65711522,24,2021-10,Paddle
1814,88868842,14,2021-10,models
1815,204380779,12,2021-10,PaddleSeg
1816,217475193,11,2021-10,PaddleDetection
1818,273214029,8,2021-10,PaddleGAN
1821,162672577,7,2021-10,PaddleHub
1844,228290594,1,2021-10,PaddleSlim
1862,217475193,170,2021-11,PaddleDetection
1863,262296122,135,2021-11,PaddleOCR
1864,204380779,134,2021-11,PaddleSeg
1866,65711522,96,2021-11,Paddle
1867,273214029,61,2021-11,PaddleGAN
1868,336274588,52,2021-11,PaddleNLP
1870,88868842,36,2021-11,models
1876,162672577,22,2021-11,PaddleHub
1882,228290594,9,2021-11,PaddleSlim
1919,262296122,235,2021-12,PaddleOCR
1921,273214029,135,2021-12,PaddleGAN
1922,217475193,132,2021-12,PaddleDetection
1924,65711522,100,2021-12,Paddle
1925,336274588,89,2021-12,PaddleNLP
1926,204380779,58,2021-12,PaddleSeg
1928,88868842,34,2021-12,models
1930,162672577,31,2021-12,PaddleHub
1962,228290594,3,2021-12,PaddleSlim
1983,262296122,177,2022-01,PaddleOCR
1985,217475193,88,2022-01,PaddleDetection
1986,336274588,63,2022-01,PaddleNLP
1987,65711522,56,2022-01,Paddle
1988,204380779,47,2022-01,PaddleSeg
1990,162672577,40,2022-01,PaddleHub
1991,273214029,34,2022-01,PaddleGAN
1995,88868842,19,2022-01,models
2008,228290594,7,2022-01,PaddleSlim
2061,262296122,122,2022-02,PaddleOCR
2063,217475193,53,2022-02,PaddleDetection
2064,336274588,49,2022-02,PaddleNLP
2065,204380779,46,2022-02,PaddleSeg
2066,162672577,41,2022-02,PaddleHub
2067,65711522,39,2022-02,Paddle
2071,273214029,26,2022-02,PaddleGAN
2073,88868842,19,2022-02,models
2080,228290594,9,2022-02,PaddleSlim
2139,262296122,163,2022-03,PaddleOCR
2140,65711522,125,2022-03,Paddle
2141,217475193,102,2022-03,PaddleDetection
2142,336274588,92,2022-03,PaddleNLP
2143,273214029,43,2022-03,PaddleGAN
2144,204380779,42,2022-03,PaddleSeg
2147,162672577,36,2022-03,PaddleHub
2157,88868842,20,2022-03,models
2171,228290594,5,2022-03,PaddleSlim
2202,217475193,203,2022-04,PaddleDetection
2203,262296122,162,2022-04,PaddleOCR
2204,204380779,126,2022-04,PaddleSeg
2205,65711522,105,2022-04,Paddle
2206,336274588,95,2022-04,PaddleNLP
2207,88868842,43,2022-04,models
2208,162672577,41,2022-04,PaddleHub
2217,273214029,22,2022-04,PaddleGAN
2224,228290594,9,2022-04,PaddleSlim
2264,262296122,314,2022-05,PaddleOCR
2265,336274588,173,2022-05,PaddleNLP
2267,217475193,74,2022-05,PaddleDetection
2268,65711522,73,2022-05,Paddle
2269,204380779,69,2022-05,PaddleSeg
2272,273214029,25,2022-05,PaddleGAN
2273,162672577,24,2022-05,PaddleHub
2275,88868842,23,2022-05,models
2280,228290594,15,2022-05,PaddleSlim
2332,262296122,162,2022-06,PaddleOCR
2333,336274588,111,2022-06,PaddleNLP
2335,217475193,72,2022-06,PaddleDetection
2336,65711522,61,2022-06,Paddle
2339,204380779,37,2022-06,PaddleSeg
2341,162672577,19,2022-06,PaddleHub
2344,273214029,17,2022-06,PaddleGAN
2353,507861208,8,2022-06,FastDeploy
2355,228290594,8,2022-06,PaddleSlim
2357,88868842,7,2022-06,models
2397,262296122,165,2022-07,PaddleOCR
2398,336274588,94,2022-07,PaddleNLP
2399,65711522,91,2022-07,Paddle
2400,217475193,78,2022-07,PaddleDetection
2401,204380779,48,2022-07,PaddleSeg
2403,162672577,26,2022-07,PaddleHub
2409,273214029,19,2022-07,PaddleGAN
2416,88868842,13,2022-07,models
2421,507861208,8,2022-07,FastDeploy
2423,228290594,8,2022-07,PaddleSlim
2465,262296122,165,2022-08,PaddleOCR
2466,217475193,90,2022-08,PaddleDetection
2467,336274588,77,2022-08,PaddleNLP
2468,65711522,61,2022-08,Paddle
2469,204380779,50,2022-08,PaddleSeg
2472,273214029,32,2022-08,PaddleGAN
2474,162672577,24,2022-08,PaddleHub
2481,228290594,18,2022-08,PaddleSlim
2482,507861208,17,2022-08,FastDeploy
2484,88868842,13,2022-08,models
2551,262296122,180,2022-09,PaddleOCR
2552,162672577,120,2022-09,PaddleHub
2553,336274588,96,2022-09,PaddleNLP
2554,217475193,69,2022-09,PaddleDetection
2555,65711522,61,2022-09,Paddle
2557,204380779,38,2022-09,PaddleSeg
2558,507861208,33,2022-09,FastDeploy
2560,273214029,25,2022-09,PaddleGAN
2566,228290594,13,2022-09,PaddleSlim
2571,88868842,10,2022-09,models
2636,262296122,218,2022-10,PaddleOCR
2637,336274588,140,2022-10,PaddleNLP
2638,217475193,93,2022-10,PaddleDetection
2639,65711522,55,2022-10,Paddle
2640,162672577,54,2022-10,PaddleHub
2642,204380779,36,2022-10,PaddleSeg
2643,507861208,26,2022-10,FastDeploy
2648,273214029,15,2022-10,PaddleGAN
2652,228290594,11,2022-10,PaddleSlim
2662,88868842,9,2022-10,models
2703,262296122,161,2022-11,PaddleOCR
2704,336274588,114,2022-11,PaddleNLP
2705,65711522,76,2022-11,Paddle
2706,217475193,71,2022-11,PaddleDetection
2707,204380779,69,2022-11,PaddleSeg
2708,507861208,61,2022-11,FastDeploy
2710,162672577,40,2022-11,PaddleHub
2711,88868842,34,2022-11,models
2714,228290594,27,2022-11,PaddleSlim
2717,273214029,22,2022-11,PaddleGAN
2776,262296122,148,2022-12,PaddleOCR
2777,336274588,83,2022-12,PaddleNLP
2778,65711522,59,2022-12,Paddle
2779,507861208,52,2022-12,FastDeploy
2780,217475193,48,2022-12,PaddleDetection
2782,204380779,34,2022-12,PaddleSeg
2785,162672577,26,2022-12,PaddleHub
2789,273214029,15,2022-12,PaddleGAN
2791,228290594,12,2022-12,PaddleSlim
2796,88868842,9,2022-12,models
2849,262296122,115,2023-01,PaddleOCR
