,repo_id,record_num,year_month,community
1101,217475193,66,2021-08,PaddleDetection
1102,262296122,54,2021-08,PaddleOCR
1103,336274588,51,2021-08,PaddleNLP
1105,204380779,38,2021-08,PaddleSeg
1113,273214029,15,2021-08,PaddleGAN
1118,228290594,9,2021-08,PaddleSlim
1121,162672577,8,2021-08,PaddleHub
1135,88868842,2,2021-08,models
1138,65711522,518,2021-09,Paddle
1140,336274588,89,2021-09,PaddleNLP
1142,262296122,76,2021-09,PaddleOCR
1146,204380779,40,2021-09,PaddleSeg
1147,217475193,38,2021-09,PaddleDetection
1153,162672577,18,2021-09,PaddleHub
1157,228290594,11,2021-09,PaddleSlim
1159,273214029,10,2021-09,PaddleGAN
1169,88868842,2,2021-09,models
1181,336274588,3,2021-10,PaddleNLP
1182,65711522,2,2021-10,Paddle
1185,217475193,1,2021-10,PaddleDetection
1189,204380779,1,2021-10,PaddleSeg
1190,262296122,1,2021-10,PaddleOCR
1194,65711522,443,2021-11,Paddle
1196,217475193,174,2021-11,PaddleDetection
1200,262296122,84,2021-11,PaddleOCR
1202,336274588,76,2021-11,PaddleNLP
1206,204380779,37,2021-11,PaddleSeg
1208,273214029,24,2021-11,PaddleGAN
1210,88868842,22,2021-11,models
1216,162672577,11,2021-11,PaddleHub
1218,228290594,10,2021-11,PaddleSlim
1237,65711522,535,2021-12,Paddle
1241,336274588,122,2021-12,PaddleNLP
1242,262296122,99,2021-12,PaddleOCR
1244,217475193,61,2021-12,PaddleDetection
1246,88868842,45,2021-12,models
1249,204380779,35,2021-12,PaddleSeg
1255,273214029,21,2021-12,PaddleGAN
1258,162672577,15,2021-12,PaddleHub
1260,228290594,12,2021-12,PaddleSlim
1284,65711522,406,2022-01,Paddle
1288,262296122,58,2022-01,PaddleOCR
1289,336274588,49,2022-01,PaddleNLP
1291,204380779,34,2022-01,PaddleSeg
1297,217475193,26,2022-01,PaddleDetection
1300,88868842,11,2022-01,models
1304,273214029,9,2022-01,PaddleGAN
1307,228290594,6,2022-01,PaddleSlim
1314,162672577,4,2022-01,PaddleHub
1319,65711522,392,2022-02,Paddle
1322,262296122,52,2022-02,PaddleOCR
1331,336274588,20,2022-02,PaddleNLP
1332,217475193,15,2022-02,PaddleDetection
1333,204380779,14,2022-02,PaddleSeg
1339,88868842,6,2022-02,models
1342,228290594,5,2022-02,PaddleSlim
1343,273214029,4,2022-02,PaddleGAN
1346,162672577,3,2022-02,PaddleHub
1359,65711522,713,2022-03,Paddle
1361,217475193,109,2022-03,PaddleDetection
1364,336274588,88,2022-03,PaddleNLP
1367,262296122,51,2022-03,PaddleOCR
1372,204380779,30,2022-03,PaddleSeg
1377,162672577,24,2022-03,PaddleHub
1381,88868842,15,2022-03,models
1385,228290594,9,2022-03,PaddleSlim
1388,273214029,6,2022-03,PaddleGAN
1408,65711522,761,2022-04,Paddle
1409,217475193,130,2022-04,PaddleDetection
1414,262296122,72,2022-04,PaddleOCR
1415,336274588,71,2022-04,PaddleNLP
1417,204380779,54,2022-04,PaddleSeg
1422,228290594,23,2022-04,PaddleSlim
1429,88868842,11,2022-04,models
1432,162672577,8,2022-04,PaddleHub
1441,273214029,2,2022-04,PaddleGAN
1447,65711522,350,2022-05,Paddle
1448,336274588,146,2022-05,PaddleNLP
1449,262296122,106,2022-05,PaddleOCR
1453,217475193,60,2022-05,PaddleDetection
1456,228290594,43,2022-05,PaddleSlim
1459,204380779,25,2022-05,PaddleSeg
1464,88868842,19,2022-05,models
1477,273214029,9,2022-05,PaddleGAN
1483,162672577,3,2022-05,PaddleHub
1493,65711522,455,2022-06,Paddle
1495,336274588,106,2022-06,PaddleNLP
1498,217475193,83,2022-06,PaddleDetection
1501,262296122,57,2022-06,PaddleOCR
1503,228290594,49,2022-06,PaddleSlim
1504,204380779,36,2022-06,PaddleSeg
1529,273214029,2,2022-06,PaddleGAN
1530,88868842,2,2022-06,models
1533,507861208,2,2022-06,FastDeploy
1536,162672577,1,2022-06,PaddleHub
1541,65711522,383,2022-07,Paddle
1543,217475193,74,2022-07,PaddleDetection
1545,228290594,65,2022-07,PaddleSlim
1546,336274588,63,2022-07,PaddleNLP
1549,507861208,40,2022-07,FastDeploy
1550,262296122,40,2022-07,PaddleOCR
1553,204380779,33,2022-07,PaddleSeg
1567,162672577,5,2022-07,PaddleHub
1574,273214029,2,2022-07,PaddleGAN
1585,65711522,536,2022-08,Paddle
1586,217475193,118,2022-08,PaddleDetection
1587,336274588,109,2022-08,PaddleNLP
1588,262296122,108,2022-08,PaddleOCR
1590,507861208,98,2022-08,FastDeploy
1595,228290594,52,2022-08,PaddleSlim
1597,204380779,35,2022-08,PaddleSeg
